n	rep	time	value	gap	LPvalue	H0	H1
60	1	593.517	624.861	0	608.306	639.665	624.861
60	2	206.003	650.741	0	640.085	687.646	650.741
60	3	392.266	605.78	0	594.706	612.566	605.78
60	4	1200.08	615.886	0.596974	597.28	636.094	615.886
60	5	146.356	635.112	0	625.756	644.923	640.643
60	6	1200.03	628.226	0.769881	612.329	637.906	632.123
60	7	1200.05	595.666	0.169159	579.525	622.993	595.666
60	8	532.701	620.046	0	609.712	627.342	620.046
60	9	79.171	546.6	0	541.316	556.931	546.6
60	10	90.107	538.111	0	530.086	545.233	538.111
