n	rep	time	value	gap	LPvalue	H0	H1
80	1	134.122	1000.52	0	990.354	1051.55	1000.52
80	2	152.287	919.948	0	909.167	952.664	919.948
80	3	956.503	969.718	0	951.383	996.644	969.718
80	4	265.399	1001.84	0	987.28	1026.34	1001.84
80	5	1200.11	997.8	2.00273	971.76	1033.92	997.8
80	6	1200.05	975.648	0.59977	956.202	1012.17	975.648
80	7	197.492	969.343	0	958.749	1006.5	969.669
80	8	218.085	999.935	0	990.908	1032.72	999.935
80	9	1200.12	1015.3	1.15497	985.673	1055.26	1015.53
80	10	135.167	1021.55	0	1011.86	1049.95	1021.55
