n	rep	time	value	gap	LPvalue	H0	H1
30	1	1.692	1.87598e+06	0	1.8565e+06	1.912e+06	1.87598e+06
30	2	16.481	2.03122e+06	0	1.89681e+06	2.0437e+06	2.03121e+06
30	3	181.716	2.77944e+06	0	2.61326e+06	2.78688e+06	2.77944e+06
30	4	3.711	2.72817e+06	0	2.61113e+06	2.87335e+06	2.73503e+06
30	5	2.681	2.04085e+06	0	1.95653e+06	2.09912e+06	2.04085e+06
30	6	3.743	1.86393e+06	0	1.81184e+06	1.89846e+06	1.86393e+06
30	7	5.201	2.33576e+06	0	2.25984e+06	2.37766e+06	2.33576e+06
30	8	2.157	1.68087e+06	0	1.64315e+06	1.71757e+06	1.68087e+06
30	9	1.236	1.99773e+06	0	1.97461e+06	2.15624e+06	1.99773e+06
30	10	2.886	1.94301e+06	0	1.87376e+06	1.94831e+06	1.94301e+06
